Date,Nedbank Eswatini,Royal Swazi Sugar,SWD Empowerment Limited,SWAPROP,Greystone,SBC Limited,Inala Capital Limited,NPC Limited,FNB Limited
2023-12-17,14.5,15.2,38,7.5,3.39,8.9,1.5,1.2,14.83
2023-12-16,14.5,15.2,38,7.5,3.39,8.9,1.5,1.2,14.83
2023-12-15,14.5,15.2,38,7.5,3.39,8.9,1.5,1.2,14.83
2023-12-14,14.5,15.2,38,7.5,3.39,8.9,1.5,1.2,14.83
2023-12-13,14.5,15.2,38,7.5,3.39,8.9,1.5,1.2,14.83
2023-12-12,14.5,15.2,38,7.5,3.39,8.9,1.5,1.2,14.83
2023-12-11,14.5,15.2,38,7.5,3.39,8.9,1.5,1.2,14.83
2023-12-10,14.5,15.2,38,7.5,3.39,8.9,1.5,1.2,14.83
2023-12-09,14.5,15.2,38,7.5,3.39,8.9,1.5,1.2,14.83
2023-12-08,14.5,15.2,38,7.5,3.39,8.9,1.5,1.2,14.83
2023-12-07,14.5,15.2,38,7.5,3.39,8.9,1.5,1.2,14.83
2023-12-06,14.5,15.2,38,7.5,3.39,8.9,1.5,1.2,14.83
2023-12-05,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,14.83
2023-12-04,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,
2023-12-03,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,
2023-12-02,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,
2023-12-01,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,0
2023-11-30,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,0
2023-11-29,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,0
2023-11-28,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,0
2023-11-27,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,0
2023-11-26,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,0
2023-11-25,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,0
2023-11-24,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,0
2023-11-23,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,0
2023-11-22,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,0
2023-11-21,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,0
2023-11-20,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,0
2023-11-19,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,0
2023-11-18,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,0
2023-11-17,14.5,15.2,38,7.9,3.39,8.9,1.5,1.2,0
2023-11-16,14.5,15.2,38,7.9,3.39,8.9,1.5,1,0
2023-11-15,14.5,15.2,38,7.9,3.39,8.9,1.5,1,0
2023-11-14,14.5,15.2,38,7.9,3.39,8.9,1.5,1,0
